Topic,Sub-Topic,Flashcard,Answer,Question,Difficulty level,Option A,Option B,Option C,Option D,Key,Explanation
,,,,"Two cars, initially 70 kilometers apart, are driving opposite to  each other. The first car is traveling at 30 km/h, and the second car is moving at 20 km/h. Determine the distance between them two minutes before they collide.",Hard,3 km,1.67 km,2.5 km,4 km,Option B,"Here 2 cars opposite to each other 
Then speed=30 +20 
                    =50 kmph
In 1 hr they travelled 50 km
1 hr=50 km
60 mins=50 km
2 mins =xkm
60x=100
x=100/60
  =10/6
  =1.67 km"
,,,,,,,,,,,
,,Do you know the formula to calculate the time taken to catch in a chase problem (like a cop chasing a thief)?,Time = Distance between them / Relative Speed,"The thief is spotted by a cop from a distance of 200 mts. Once they see each other, they start running. What is the distance that thief would have covered before being caught, if he ran at a speed of 5kmph and cop ran with 9kmph?",Easy,250m,500m,700m,100m,Option A,"The speed of the thief = 5 km/h
The speed of the cop = 9 km/h
Distance between them = 200 m

Step 1: Convert speeds into m/s
1 km/h = 5/18 m/s

Thief’s speed = 5 × (5/18) = 25/18 m/s ≈ 1.39 m/s
Cop’s speed = 9 × (5/18) = 45/18 = 2.5 m/s

Step 2: Find relative speed
Relative speed = 2.5 – 1.39 = 1.11 m/s

Step 3: Time taken for the cop to catch the thief
Time = Distance / Relative speed = 200 / 1.11 ≈ 180 seconds

Step 4: Distance covered by the thief in this time
Distance = Speed × Time = 1.39 × 180 ≈ 250 m

Final Answer:
The thief will cover 250 meters before being caught."
,,,,"The hiker is seen by a ranger from a distance of 250 meters. If the hiker walks at a speed of 4 km/h and the ranger walks at 7 km/h, how far would the hiker have traveled before being caught?",Medium,333.3m,400m,600m,800m,Option A,"Here Actual speed=7kmph - 4 kmph=3 kmph
Distance=250 m
Convert m to km
250/1000=1/4 km
Time=Distance/Speed
       =1/4/3
       =1/12 hrs
Hiker speed=4 kmph
Then 
Distance=Speed *Time
              =4*(1/12)
             =1/3 km
convert km to m
              =333.3 m  Approx"
,,,,"Manoj and Ajay start simultaneously from the same place A and reach at place B, 60 kms apart. Manoj’s speed is 4kmph less than that of ajay. Ajay, after reaching place B, returns and meets Manoj at a place 12km away from B. Find the speed of Manoj?",Hard,2kmph,4kmph,6kmph,8kmph,Option D,"Let Ajay’s speed = v km/h.
Then Manoj’s speed = v − 4 km/h.

When they meet the meeting point is 12 km from B toward A, so distance of meeting point from A = 60 − 12 = 48 km.

Distance travelled by Manoj until meeting = 48 km.
Distance travelled by Ajay until meeting = A→B (60 km) + B→meeting (12 km) = 72 km.

They start together, so their travel times to the meeting point are equal:
Time of Manoj = Time of Ajay

48 / (v − 4) = 72 / v

Cross-multiply:
48v = 72(v − 4)
48v = 72v − 288
Bring terms together:
288 = 72v − 48v = 24v
v = 288 / 24 = 12 km/h

Ajay’s speed = 12 km/h.
Manoj’s speed = v − 4 = 12 − 4 = 8 km/h.

Final Answer:
Manoj’s speed is 8 km/h."
,,,,,,,,,,,
,,Do you know the formula to calculate average speed when a person goes with speed x and returns with speed y over equal distances?,Average Speed = (2xy) / (x + y),A person goes to a town at a speed of 30 km/h and returns at a speed of 50 km/h. Find his average speed for the whole journey (equal distance both ways).,Easy,37.5kmph,50kmph,75kmph,15kmph,Option A,"We use the formula:
Average Speed = (2xy) / (x + y)

Here, x = 30 and y = 50

Average Speed = (2 × 30 × 50) / (30 + 50)
= (3000) / 80
= 37.5 km/h

Final Answer:
The average speed of the person is 37.5 km/h"
,,,,"Vineela  walk at a speed of 5 km/h, She arrive  at  house 30 minutes late. Alternatively, if she  walk at a speed of 6 km/h, she arrive at her house 20 minutes early. How far  vineela house from her office?",Medium,25kms,26kms,27kms,28kms,Option A,"Time=Distance/Speed
Time difference =30+20=50 mins
Convert mins to hr  then 50/60 hrs
Distance consider as x
Here  Distance difference
(x/5)-(x/6)=5/6 hrs
(6x-5x)/30=5/6
x=25 km"
,,,,"Akhil, and Nikil start simultaneously from the same place X, and reach place Y,40 km apart. Akhil's speed is 2kmph less than that of Nikil. Nikil after reaching place Y, returns and meets akhil at a place 6 km away from Y. Find the speed of Nikil?",Hard,15 kmph,7.6 kmph,14 kmph,20 kmph,Option B,"The speed of Akhil is considered as x
Akhil covers  less than 2 kmph means 
Speed of  Nikil is x+2
Nikil travelled a distance  X to Y 40 km and he returned 6 km
Then 
Nikil travelled distance=40+6=46 km
Akhil travelled  distance=40-6=34 km
Then 
Distance travelled Nikil/Speed of Nikil=Distance travelled Akhil/Speed of  Akhil
46/(x+2)=34/x
46x=34x+68
12x=68
x=5.66 kmph
Nikil =5.66 +2 =7.66 kmph"
,,,,,,,,,,,
,Effective Speed,Do you know the formula for effective speed when two objects move in opposite directions and when they move in the same direction?,"Effective Speed (Opposite Direction)= Speed of First Object – Speed of Second Object
            
Effective Speed(Same Direction) = Speed of First Object + Speed of Second Object",What is the upstream speed of a woman when she rows in a river with a 3 km/hr current if she can row at 16 km/hr in still water?,Easy,12kmph,13kmph,15kmph,18kmph,Option B,"Given that,

Speed in still water = 16 km/hr
Speed of current = 3 km/hr

As we know,
Upstream speed = Speed in still water − Speed of current

Now, substitute the values,
Upstream speed = 16 − 3 = 13 km/hr

Hence, the upstream speed = 13 km/hr."
,,,, The speed of the boat in still water is 13 km/hr and the rate of stream is 7  km/hr. The distance travelled in downstream for 30 mins is?,Medium,40km,30km,20km,10km,Option D,"Speed of downstream speed = Speed of boatman's + Speed of water
                                                                    = 13+7
                                                                    = 20 kmph
Distance covered for 30 minutes = Speed of downstream speed*Time
                                                        = 20 kmph *(30/60)hr
                                                        = 10 km"
,,,,A swimmer swims a distance of 36kms in 6hrs downstream and a distance of 40kms upstream in 8hrs. Find the speed of the swimmer in still water ,Hard,5.5kmph,6.5kmph,4kmph,4.5kmph,Option A,"Downstream speed = Distance / Time = 36 / 6 = 6 km/h
Upstream speed = Distance / Time = 40 / 8 = 5 km/h

Let:
Speed of swimmer in still water = S
Speed of stream = R

Then:
Downstream speed = (S + R) = 6
Upstream speed = (S − R) = 5

Now add both equations:
(S + R) + (S − R) = 6 + 5
2S = 11
S = 11/2 = 5.5 km/h

Final Answer:
The speed of the swimmer in still water is 5.5 km/h."
,,,,,,,,,,,
,,Do you know which speed is always smaller: upstream speed or boat speed in still water?,Upstream speed is smaller because the current slows the boat.,A boat’s speed in still water is 15 km/h and the stream speed is 4 km/h. Find the upstream speed.,Easy,11kmph,12kmph,13kmph,14kmph,Option A,Upstream speed = 15 – 4 = 11 km/h
,,,,A speedboat in still water travels at a speed of 40 kmph. It goes 120 km downstream in 1 hour and 30 minutes. Find the time taken by it to cover the same distance upstream,Medium,2hr,Never Reaches ,3hr,4hr,Option B,"Speedboat speed is considered as x kmph=40 kmph
Speed of water is y kmph
Speed of  downstream=Distance/Time
=120/1 1/2
=120/(3/2)
=80 kmph
80 =x+y
80=40+y
y=40 kmph
Speed of Upstream=x-y
=40-40
=0 kmph
It never reaches to the top"
,,,,A man can row 9 ⅓ kmph in still water and he finds that it takes him thrice as much time to row upstream as to row downstream. Find the speed of the current,Hard,"4 ⅔ kmph
","3 ⅔ kmph
","5 ⅔ kmph
",10kmph,Option A,"A man’s speed in still water = 9 1/3 = 28/3 km/h.
Let speed of current = R km/h.

Downstream speed = S + R = 28/3 + R.
Upstream speed = S − R = 28/3 − R.

Given: time upstream = 3 × time downstream. For equal distance d, time = d/speed, so
1/(S − R) = 3/(S + R).

Cross-multiply:
S + R = 3(S − R)
S + R = 3S − 3R
Bring like terms together:
R + 3R = 3S − S
4R = 2S
R = S/2

Substitute S = 28/3:
R = (28/3) / 2 = 28/6 = 14/3 km/h = 4 2/3 km/h"
,,,,,,,,,,,
,,"If the time taken to cover a distance D upstream and downstream is the same, do you know the speed of the stream?","The speed of the stream is 0, because the boat takes the same time in both directions only if there is no current.","In 3hrs a swimmer can row 21kms downstream and 15kms against the stream in same time. Find the speed of the stream",Easy,2kmph,1kmph,3kmph,4kmph,Option B,"Downstream distance in 3 hrs = 21 km → downstream speed = 21 / 3 = 7 km/h.
Upstream distance in 3 hrs = 15 km → upstream speed = 15 / 3 = 5 km/h.

Let S = speed of swimmer in still water, r = speed of stream.

We have:
S + r = downstream speed = 7
S − r = upstream speed = 5

Add the two equations: 2S = 12 → S = 6 km/h.
Subtract the second from the first: 2r = 2 → r = 1 km/h.

Final Answer: speed of the stream = 1 km/h."
,,,,A boat goes double of time taken by it to go downstream while coming in upstream. If the speed of the water is 3kmph. Find the speed of the boat,Medium,6kmph,2kmph,9kmph,10kmph,Option C,"Let speed of boat in still water = B km/h.
Speed of stream = 3 km/h.

Downstream speed = B + 3.
Upstream speed = B – 3.

Given: time taken upstream is double the time taken downstream.
For equal distance D,

D / (B – 3) = 2 × [D / (B + 3)]

Cancel D:
1 / (B – 3) = 2 / (B + 3)

Cross multiply:
B + 3 = 2(B – 3)
B + 3 = 2B – 6
B = 9

Final Answer: speed of boat in still water = 9 km/h."
,,,,A motorboat in still water travels at a speed of 36 kmph. It goes 56 km upstream in 1 hour 45 minutes.The time taken by it to cover the same distance down the stream will be:,Hard,1 hour ,1 hour 24 minutes.,1 hour 48 minutes.,1 hour 36 minutes.,Option B,"Speed of motorboat in still water = 36 km/h.
Distance upstream = 56 km.
Time upstream = 1 hour 45 minutes = 1.75 hours.

Upstream speed = 56 ÷ 1.75 = 32 km/h.
Stream speed = 36 – 32 = 4 km/h.
Downstream speed = 36 + 4 = 40 km/h.

Time downstream = 56 ÷ 40 = 1.4 hours.
1.4 hours = 1 hour 24 minutes.

Final Answer: time taken downstream = 1 hour 24 minutes."
,,,,,,,,,,,
,Problems on Trains,Do you know the formula to calculate the speed of a train if its length and the time taken to cross a stationary object are known?,Speed = Length of Train / Time taken to cross the object,A 120 meter long train speeds past a pole in 10 seconds. What is the speed in km/h?,Easy,43.2kmph,72kmph,86.4kmph,36kmph,Option A,"Length of train = 120 m
Time to pass pole = 10 s

Speed = Distance ÷ Time = 120 ÷ 10 = 12 m/s

Convert m/s to km/h:
1 m/s = 18/5 km/h
So, 12 × (18/5) = 216/5 = 43.2 km/h

Final Answer: Speed of train = 43.2 km/h"
,,,,"A person running at 24 km/h traverses a bridge in 6 minutes, what is the length of the bridge?",Medium,4.8km,2.8km,2.4kmph,5kmph,Option C,"Distance=Speed * Time
              =24 km/h * 6/60 hr
            =2.4 km"
,,,,"In how many seconds will a train, 50 meters long, travelling at 13 km/h, cross a person walking at 5 km/h in the opposite direction?",Hard,10 sec,20 sec,25 sec,5 sec,Option A,"The train and person are travelling in opposite direction
Then we add both speed
Relative Speed=Speed of train + Speed of person
           =13+ 5
           =18 km/h
convert km/h to m/s
           =18*5/18=5 m/s
Time=Distance/Relative Speed
         =50 m/ 5m/s
         =10 seconds"
,,,,,,,,,,,
,,Do you know the formula to calculate the time taken by a train to cross a platform?,Time = (Length of Train + Length of Platform) / Speed of Train,A train 150 m long runs at a speed of 54 km/h. Find the time it will take to cross a platform of length 200 m.,Easy,23.33s,27.77s,10s,20s,Option A,"Length of train = 150 m
Length of platform = 200 m
Total distance to be covered = 150 + 200 = 350 m

Speed of train = 54 km/h
Convert to m/s = 54 × (5/18) = 15 m/s

Time = Distance ÷ Speed = 350 ÷ 15 = 23.33 seconds ≈ 23.3 seconds"
,,,,"Two identical trains pass each other in 3 minutes. If one of the trains increases the number of bogies from 10 to 15, calculate the additional time it takes for them to cross each other.",Medium,30 sec,45 sec,60 sec,50 sec,Option B,"Train one have 10 bogies 
Train two have 10 bogies 
Then total bogies=10+10=20 
20 bogies take 3 mins 
Mins converted  into sec
3 mins *60 =180 sec
Then
20 bogies take 180 sec
1 bogie take time =180/20=9 sec
Then 
15 -10 bogies=5 bogies 
5*9=45 sec"
,,,,"Two trains depart  at same time ,one from Delhi to Kolkata and the other in the opposite direction. They reach their respective destinations 1 hours and 9 hours, respectively, after passing each other.How much faster is one train from another
",Hard,3 :1,1 :3,2 :3,4 : 5,Option A,"Speed is inversly proportional to  Time
Then
1st Train consider as Train A
2nd Train consider  as Train B
Speed of Train A/Speed of Train B =sqrt (Time of Train B/ Time of Train A)
                                                        =sqrt (9/1)
Speed of Train A/Speed of Train B =3/1
Then ratio is 3 :1"
,,,,,,,,,,,
,,Do you know the formula to calculate the time taken for a train to cross another train moving in the same direction and in the opposite direction?,"Same direction: Time = (Length of Train1 + Length of Train2) / (Speed1 − Speed2)

Opposite direction: Time = (Length of Train1 + Length of Train2) / (Speed1 + Speed2)",Two trains of lengths 100 m and 120 m are running in opposite directions with speeds of 54 km/h and 36 km/h. Find the time taken by the trains to cross each other.,Easy,6.6sec,8.8sec,10sec,12sec,Option B,"Length of first train = 100 m
Length of second train = 120 m
Total distance = 100 + 120 = 220 m

Speeds:
54 km/h = 54 × (5/18) = 15 m/s
36 km/h = 36 × (5/18) = 10 m/s

Relative speed (opposite directions) = 15 + 10 = 25 m/s

Time = Distance ÷ Speed = 220 ÷ 25 = 8.8 seconds"
,,,,"A train 120 meters long, traveling at 45 km/h, overtakes another train traveling in the same direction at 36 km/h and passes it completely in 80 seconds. The length of the second train is",Medium,20m,40m,60m,80m,Option D,"Train 1 length = 120 m
Speed of Train 1 = 45 km/h = 12.5 m/s
Speed of Train 2 = 36 km/h = 10 m/s
Relative speed = 12.5 – 10 = 2.5 m/s
Time to overtake = 80 s

Formula: Time = (Length of Train 1 + Length of Train 2) ÷ Relative speed

80 = (120 + L) ÷ 2.5
120 + L = 200
L = 200 – 120 = 80 m

Final Answer: length of the second train = 80 meters."
,,,,Local trains leave from a station at an interval of 15 minutes at a speed of 15 km/h. A man moving from the opposite direction meets the trains at an interval of 12 minutes. Find the speed of the man.,Hard,3.75kmph,5kmph,7.5kmph,10kmph,Option A,"Trains leave every 15 minutes = 1/4 hour.
Speed of train = 15 km/h.
Distance between two trains = 15 × 1/4 = 3.75 km.

Man meets trains every 12 minutes = 1/5 hour.
Relative speed = 3.75 ÷ (1/5) = 18.75 km/h.

Relative speed = train speed + man speed = 15 + v.
So, 15 + v = 18.75.
v = 3.75 km/h.

Final Answer: speed of the man = 3.75 km/h."
,,,,,,,,,,,
,Races,Do you know the distance covered by B when A finishes if A beats B by d meters in a race of length L?,Distance covered by B = L − d,"In a 450 meters race, X beats Y 60 meters or 20 seconds.Find the time taken by to complete the race.",Easy,150s,200s,300s,400s,Option A,"Y Speed=distance/time
              = 60/20
              = 3 m/s
Time taken by Y to complete the race=Distance of race/Speed of Y
                                                        = 450/3 
                                                        = 150 s"
,,,,In a 200 m race X gives a 40 m headstart to Y and beats by 10 sec. If the headstart is 80 m the race ends in deadheat.Find the speed of Y and X.,Medium,10/3 mps,20/3 mps,10 mps,40/3 mps,Option B,"When Y takes 40 m headstart then Y is defeated by 10 sec.
 When Y takes 80 m headstart then Y takes the same time as X takes(deadheat).
Means ,
Difference between headstarts = (80m-40m) 
                                                     = 40 m
Difference between time taken is 10 sec
It means Y will take 10 sec to cover 40 m
Speed of Y=Distance/Time
                 = 40/10
                 = 4 m/s

Y covers (200 - 80) = 120 m with speed 4 m/s.
Time taken by Y = Time taken by X
120/4 = 200/Speed of X
Speed of X = (200 x 4)/120
                   = 20/3 m/s."
,,,,n a 200 mts race A gives a 25mts head start to B and beats B by 10 sec. If the head start is 45mts the race ends in dead heat. Find the speed of B and the time taken for A to complete the race.,Hard,"3 mps, 77.5 secs","2 mps, 77.5 secs","5 mps, 77.5 secs","6 mps, 77.5 secs",Option B,"Let vA and vB be speeds in m/s.

Race length = 200 m.

Case 1: A gives B a 25 m head start.
B runs 200 − 25 = 175 m.
A runs 200 m and beats B by 10 s:
Time_B = Time_A + 10
=> 175 / vB = 200 / vA + 10. ...(1)

Case 2: A gives B a 45 m head start and they finish together (dead heat).
B runs 200 − 45 = 155 m.
So 200 / vA = 155 / vB => vB = (155/200) vA = (31/40) vA. ...(2)

Substitute (2) into (1):
175 / ((31/40) vA) = 200 / vA + 10
=> (175 × 40 / 31) × 1/vA = 200 / vA + 10
=> 7000/31 × 1/vA = 200 / vA + 10

Multiply by vA:
7000/31 = 200 + 10 vA
10 vA = 7000/31 − 200 = 800/31
vA = 80/31 m/s ≈ 2.580645 m/s

From (2): vB = (31/40) vA = (31/40) × (80/31) = 80/40 = 2 m/s.

Time for A to complete race = 200 / vA = 200 ÷ (80/31) = 200×31/80 = 77.5 seconds.

Final answers:
Speed of B = 2 m/s = 7.2 km/h.
Time taken by A to complete the race = 77.5 seconds."
,,,,,,,,,,,
,,Do you know the formula to find the time after which two people running on a circular track meet for the first time?,"Time = Length of Track / Relative Speed

Relative Speed = |Speed1 − Speed2| if they run in same direction
Relative Speed = Speed1 + Speed2 if they run in opposite directions","A man moving on a circular track of radius 14 mts completes 1 revolution in 2 mins,What is the average speed of man(mts/min)?",Easy,80,44,100,50,Option B,"Here it is circular track 
r = 14
Then distance=2πr
                      =2*(22/7)*14
                     =88
Average speed=Distance/Time
                        =88 mts /2 min
                         =44 mts/min"
,,,,"A track with a length of 30 meters, and two people, C and D, are running around it at 10 m/min and 20 m/min respectively in the same direction, when will D overtake C for the first time?",Medium,3,4,6,5,Option A,"Here C,D are in same direction 
Then relative speed =20-10=10 m/min
Time=Distance/Speed
       =30/10
       =3 mins"
,,,,"Two persons A and B start running  towards a circular track of length 240 m in opposite directions with intial speeds of 20 m/s  and  60 m/s respectively.Whenever they meet , A's speed doubles and B's speed halves.After what time from the start will they meet for the second time?",Hard,12,10,6.4,5,Option C,"Length of track is distance=240m
Then A,B speed are 20 m/s and 60 m/s
Here 2 persons are in opposite direction 
Then relative speed=20+60=80 m/s
1st time=Distance/Speed
             =240/80= 3 sec
2nd time
A speed is double and B speed is half
new speed are 20*2 ,60/2
                      40m/s ,30 m/s
2nd time =240/(40+30)
              =3.4 sec 
              =3.4 sec+ 3 sec
              =6.4 sec"
,,,,,,,,,,,
,,Do you know which concept is applied when two runners must meet again at the starting point?,The concept of LCM (Least Common Multiple) of their times is applied.,"Two runners start together on a circular track. Runner A takes 12 minutes to complete one round, while Runner B takes 15 minutes to complete one round. After how much time will they meet again at the starting point?",Easy,15min,60min,120min,30min,Option D,"To meet again at the starting point, we take the LCM of their times.
Time taken by A = 12 minutes
Time taken by B = 15 minutes

LCM of 12 and 15 = 60 minutes

Final Answer:
The two runners will meet again at the starting point after 60 minutes."
,,,,R and Q are running on a circular track of length 200 mts starting from the same point and in the same directions. If the speeds of R and Q are 20 m/s and 40 m/s.Find the minimum time after which they will meet at the starting point.,Medium,10,45,15,25,Option A,"Time taken by R=Distance/Time
                          =200/20=10 sec
Time taken by Q=200/40=5 sec
Then calculate LCM (10,5) =10 sec
minimum time is 10 sec"
,,,,P & M are running on a circular track of length 1000mts starting from the same point and in the same directions.If the speeds of P & M are 50&20m/s.Find minimum time after which they will meet at the starting point.,Hard,100s,200s,300s,400s,Option A,"P and M are running on a circular track of length 1000 meters starting from the same point and in the same direction. If the speeds of P and M are 50 m/s and 20 m/s, find the minimum time after which they will meet at the starting point.

Solution:
Time taken by P to complete one round = Distance ÷ Speed = 1000 ÷ 50 = 20 seconds
Time taken by M to complete one round = 1000 ÷ 20 = 50 seconds

They will meet at the starting point after the LCM of their times.

LCM of 20 and 50 = 100 seconds

Final Answer:
P and M will meet at the starting point after 100 seconds."
,,,,,,,,,,,
Ratios and Proportions,Ratios,Do you know how to use ratios to find actual values when combining parts or working with a total?,"First, combine ratios by making the common terms equal.
Then, divide the total amount in the ratio parts to find each value.

Example: If a:b = 2:3 and b:c = 4:5, first make b equal → a:b:c = 8:12:15.
If the total is 35, divide in ratio 8:12:15 → a = 8, b = 12, c = 15.",If a:b=5:4 and b:c =3:2 find a:b:c?,Easy,15 : 12: 8,12 : 15: 7,14 : 13: 7,9 : 15: 7,Option A,"a:b=5:4 
b:c=3:2 
Here in the ratios b in common in two ratios 
Step 1: multiply a:b values with the second ratio b value
Second ratio b=3
i.e 5*3:4*3
Then result is 15:12
Step 2:  multiply b:c values with  first ratio b value
First ratio b =4
i.e 3*4:2*4
Then the result is 12:8
Result of a:b:c=15:12:8"
,,,,"The ratio of two quantities is 5 : 2. If the second quantity is Rs.100, then find the first  quantity.",Medium,150,250,350,450,Option B,"Ratio = 5:2 
Then we consider as 5x:2x
In the question second quantity is given 
i.e;100
So 2x=100
 x=50
Now we want the first quantity
5x=5*50=250
First quantity is 250"
,,,,"Vishal has coins of denominations of Rs 1, RS 2 and RS 3 in the ratio of 2:3:4. The total worth of coins he has is Rs.100. Find the number of RS 1 coins that Vishal has",Hard,13,12,11,10,Option D,"Here the ratio is 2:3:4
Their denominations are rs 1, rs 2, rs 3
Step 1 Now multiply their ratios with respected denominations 
Then we get
   2*1:3*2:4*3
   2:6:12
Add ratios then we get 2x+6x+12x=20x
Here total worth of the given is 100
20x=100
x=5
But we want the number of rs 1 Vishal have
 so 2x is the rs 1 ratio 
    2*5=10
Therefore Vishal have 10 coins of rs 1"
,,Do you know how to find individual amounts when given fractions of each person’s share and the total sum?,"Compare the fractions of each person’s amount to set up an equation.
Use the total sum to solve for individual amounts.

Example: A and B together have Rs. 600. If half of A’s money equals half of B’s money, then:
Let A = x, B = y.
x/2 = y/2 → x = y.
Total = x + y = 600 → x = 300, y = 300.","A and B together have 600 rupees. If half of A’s money is equal to half of B’s money, how much money does A have?",Easy,300,400,500,600,Option A,"Half of A = Half of B
So A = B
A + B = 600
2A = 600
A = 300"
,,,,"A and B together have 1200 rupees. If half of A’s amount is equal to three-fourths of B’s amount, how much money does A have?",Medium,200,720,670,990,Option B,"Half of A = Three-fourths of B
Multiply both sides by 4 = 2A = 3B
So A = 3B/2

Now, A + B = 1200
(3B/2) + B = 1200
(5B/2) = 1200
B = 480

A = 3B/2 = 3 × 480 / 2 = 720"
,,,,"A, B, and C together have 2400 rupees. If one-third of A’s money is equal to one-half of B’s money and also equal to two-thirds of C’s money, how much money does A approximately have?",Hard,1108 rupees,1308 rupees,1408 rupees,1508 rupees,Option A,"From the condition:
A = 3x
B = 2x
C = 1.5x

So, A + B + C = 3x + 2x + 1.5x = 6.5x
6.5x = 2400
x = 2400 / 6.5 = 369.23 (approx)

A = 3x = 3 × 369.23 = 1107.69 (approx)
 About 1108 rupees"
,,Did you remember using ratios to find ages?,"Express each person’s age in terms of a common multiplier.

Use the given age or total sum to find the multiplier.

Multiply back to get each person’s age.

Example: A:B = 3:4, B = 12 → multiplier = 3 → A = 9, B = 12.","The ratio of the ages of A and B is 3:4. If B is 12 years old, how old is A?",Easy,6,7,8,9,Option D,"Ratio of A to B = 3:4
B = 12 → 4 parts = 12 → 1 part = 12 ÷ 4 = 3
A = 3 parts = 3 × 3 = 9"
,,,,"The ratio of the ages of A and B is 5:6. If the sum of their ages is 44 years, find their ages.",Medium,"A = 20 years, B = 24 years","A = 22 years, B = 20 years","A = 10 years, B = 14 years","A = 23 years, B = 24 years",Option A,"Let A = 5x, B = 6x
Sum: 5x + 6x = 11x = 44
x = 44 /11 = 4
A = 5x = 20, B = 6x = 24"
,,,,"The ratio of the ages of A, B, and C is 2:3:4. Five years later, the sum of their ages will be 69 years. Find their current ages.",Hard,"A = 10 years, B = 18 years, C = 14 years","A = 14 years, B = 16 years, C = 24 years","A = 12 years, B = 18 years, C = 24 years","A = 10 years, B = 12 years, C = 24 years",Option C,"Let A = 2x, B = 3x, C = 4x
Five years later: (A + 5) + (B + 5) + (C + 5) = 69
(2x + 3x + 4x) + 15 = 69 → 9x + 15 = 69 → 9x = 54 → x = 6

Current ages:
A = 2x = 12 years
B = 3x = 18 years
C = 4x = 24 years

Answer: A = 12 years, B = 18 years, C = 24 years"
,Proportions,Do you know what it means when two ratios are equal and how to use it to find unknowns?,"When two ratios are equal, the quantities are said to be in proportion.
Formula: A : B = C : D → A × D = B × C (cross-multiplication).
Used to find unknown quantities or compare ratios.

Example: If 2 : x = 4 : 6 → 2 × 6 = 4 × x → x = 3.","A : B = 2 : 3 and B : C = 4 : 5. If B = 12, find A and C.",Easy,"A = 8, C = 15","A = 8, C = 9","A = 7, C = 5","A = 18, C = 15",Option A,"B : C = 4 : 5 → 4 parts = B = 12 → 1 part = 3
A : B = 2 : 3 → 3 parts = B = 12 → 1 part = 4 → A = 2 × 4 = 8
C = 5 × 3 = 15"
,,,,"The ratio of boys to girls in a class is 5 : 6. If the number of girls is 36, how many boys are there?",Medium,15,20,25,30,Option D,Boys / Girls = 5 / 6 → 5 / 6 = x / 36 → x = (5 × 36) / 6 = 30
,,,,Riya is mixing three paint colors named A B and C. The mixture must keep A to B as 3 to 4 and B to C as 5 to 6. She has already added 9 liters of A. How many liters of B and C should she add to keep the recipe right?,Hard,"B = 12, C = 9","B = 12, C = 15","B = 12, C = 14.4","B = 10, C = 14",Option C,"Step 1: Find B using A : B = 3 : 4 → 3 / 4 = 9 / B → B = 12
Step 2: B : C = 5 : 6 → 5 / 6 = 12 / C → C = (12 × 6)/5 = 14.4"
,,Do you know how to divide a total into parts using a ratio?,"Sometimes proportions are used to split a total amount according to a given ratio.
Formula: Total = sum of ratio parts × value of one part

Example: Divide Rs. 70 in the ratio 2:3 → sum of parts = 2 + 3 = 5 → one part = 70 ÷ 5 = 14 → shares = 2×14=28, 3×14=42.",Divide 63 rupees between A and B in the ratio 2 : 5. How much does each get?,Easy,"A = 8, B = 5","A = 18, B = 45","A = 9, B = 15","A = 9, B = 13",Option B,"Total parts = 2 + 5 = 7 → 1 part = 63 / 7 = 9
A = 2 × 9 = 18, B = 5 × 9 = 45"
,,,,"Three friends A, B, and C are splitting 120 rupees they earned from a lemonade stand. They agreed to share it in the ratio 3 : 4 : 5. How much should C get?",Medium,10 rupees,30 rupees,40 rupees,50 rupees,Option D,"Total parts = 3 + 4 + 5 = 12
Value of 1 part = 120 ÷ 12 = 10 rupees
C’s share = 5 parts = 5 × 10 = 50 rupees"
,,,,"Three friends run a weekend snack stall and earn 360 rupees. They agree to split the money in the ratio 2 : 3 : 5. Later, they decide to give the second friend a bonus of 10 rupees for handling extra customers. What does the new ratio of their shares look like?",Hard,15 : 59 : 90,36 : 9 : 19,36 : 59 : 90,16 : 9 : 10,Option C,"Original shares:
Total parts = 2 + 3 + 5 = 10 → 1 part = 360 / 10 = 36
A = 2 × 36 = 72, B = 3 × 36 = 108, C = 5 × 36 = 180
After giving 10 extra to B → B = 118
New ratio = 72 : 118 : 180 → divide by 2 → 36 : 59 : 90"
,,Do you know how to find individual quantities when numbers are in a given ratio?,"Assign each part of the ratio a variable.
Add all parts and set equal to the total.
Solve for the variable to find the value of each quantity.

Example: Divide 70 in the ratio 2:3 → let parts = 2x and 3x → 2x + 3x = 70 → 5x = 70 → x = 14 → shares = 28 and 42.","A fruit seller has apples and oranges in a basket. The total number of fruits is 30. If the number of apples to oranges is 2:3, how many oranges are there?",Easy,17,18,19,20,Option B,"Let apples = 2x, oranges = 3x → 2x + 3x = 5x = 30 → x = 6
Oranges = 3x = 18"
,,,,"In a classroom, the number of students in Group A, Group B, and Group C add up to 52. The ratio of students in Group A to Group B is 3:4, and the ratio of Group B to Group C is 2:3. How many students are there in Group B?",Medium,16,17,18,19,Option A,"Let Group A = 3k1, Group B = 4k1
Group B:Group C = 2:3 → 4k1:Group C = 2:3 → Group C = (3 × 4k1)/2 = 6k1
Sum = 3k1 + 4k1 + 6k1 = 13k1 = 52 → k1 = 4
Group B = 4k1 = 4*4 = 16"
